reaction,name,n_genes,Exuding_mycelium,Exudophore,Fuzzy_mycelium,Nodule,max_other,ratio
rxn00330,"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carb",1,7.87,127.31,2.09,110.69,110.69,1.15
rxn00499,(S)-Lactate:NAD+ oxidoreductase,1,4.43,7.13,3.25,6.42,6.42,1.11
rxn00741,2-Hydroxybutyrate:NAD+ oxidoreductase,1,4.43,7.13,3.25,6.42,6.42,1.11
rxn02228,3-Mercaptolactate:NAD+ oxidoreductase,1,4.43,7.13,3.25,6.42,6.42,1.11
rxn17951,p-nitrophenyl-alpha-mannosidase,1,2.34,5.58,5.04,3.89,5.04,1.11
rxn32805,L-lactate dehydrogenase,1,4.43,7.13,3.25,6.42,6.42,1.11
rxn41279,rxn41279,1,2.34,5.58,5.04,3.89,5.04,1.11
rxn05231,2'-Deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductas,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn05233,2'-Deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductas,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn06075,2'-Deoxyuridine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn06076,2'-Deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn06641,2'-Deoxyribonucleoside diphosphate:oxidized-thioredoxin 2'-oxidoreduct,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn12053,2'-deoxyribonucleoside-diphosphate:tryparedoxin-disulfide 2'-oxidoredu,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn12054,2'-deoxyribonucleoside-diphosphate:trypanothione-disulfide 2'-oxidored,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn19077,ADPREDUCT-RXN.c,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn19277,CDPREDUCT-RXN.c,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn19771,GDPREDUCT-RXN.c,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn20781,ribonucleoside-diphosphate reductase,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn26475,RXN0-747.c,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn27415,UDPREDUCT-RXN.c,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn34037,Ribonucleoside-Diphosphate Reductase,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn34047,Ribonucleoside-Diphosphate Reductase,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn34060,Ribonucleoside-diphosphate Reductase,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn34065,Ribonucleoside-diphosphate Reductase,4,12.23,21.02,17.03,19.48,19.48,1.08
rxn48290,rxn48290,6,18.02,19.53,17.8,10.09,18.02,1.08
rxn02287,S-adenosyl-L-methionine:uroporphyrin-III C-methyltransferase,1,2.13,4.28,1.6,4.0,4.0,1.07
rxn02776,S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase,1,2.13,4.28,1.6,4.0,4.0,1.07
rxn05005,S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase,1,2.13,4.28,1.6,4.0,4.0,1.07
rxn05006,S-adenosyl-L-methionine:precorrin-1 C-methyltransferase,1,2.13,4.28,1.6,4.0,4.0,1.07
rxn00711,UMP:diphosphate phospho-alpha-D-ribosyltransferase,1,6.45,6.83,5.87,5.81,6.45,1.06
rxn06109,Succinate:ubiquinone oxidoreductase,1,24.65,55.66,14.93,52.64,52.64,1.06
rxn09272,"fumarate reductase complex (i.e. FRD, involved in anaerobic respiratio",1,24.65,55.66,14.93,52.64,52.64,1.06
rxn09417,Succinic dehydrogenase,1,24.65,55.66,14.93,52.64,52.64,1.06
rxn27229,"fumarate reductase complex (i.e. FRD, involved in anaerobic respiratio",1,24.65,55.66,14.93,52.64,52.64,1.06
rxn33444,Succinate dehydrogenase (ubiquinone),1,24.65,55.66,14.93,52.64,52.64,1.06
rxn37562,"fumarate reductase complex (i.e. FRD, involved in anaerobic respiratio",1,24.65,55.66,14.93,52.64,52.64,1.06
rxn37563,"fumarate reductase complex (i.e. FRD, involved in anaerobic respiratio",1,24.65,55.66,14.93,52.64,52.64,1.06
rxn37641,"fumarate reductase complex (i.e. FRD, involved in anaerobic respiratio",1,24.65,55.66,14.93,52.64,52.64,1.06
rxn38991,Succinic dehydrogenase,1,24.65,55.66,14.93,52.64,52.64,1.06
rxn48571,Succinate:ubiquinone oxidoreductase,1,24.65,55.66,14.93,52.64,52.64,1.06
rxn05913,Dolichyl-diphosphate phosphohydrolase,1,0.73,1.97,1.88,1.05,1.88,1.05
rxn19640,Dol-P-P phosphohydrolase,1,0.73,1.97,1.88,1.05,1.88,1.05
rxn00284,succinate:NAD+ oxidoreductase,2,23.82,63.85,9.84,61.33,61.33,1.04
rxn01115,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),2,18.54,23.09,14.53,22.3,22.3,1.04
rxn11040,RXN-3341.c,2,18.54,23.09,14.53,22.3,22.3,1.04
rxn19016,Phosphogluconate dehydrogenase (decarboxylating),2,18.54,23.09,14.53,22.3,22.3,1.04
rxn33859,Phosphogluconate dehydrogenase (decarboxylating).,2,18.54,23.09,14.53,22.3,22.3,1.04
rxn00134,ATP:adenosine 5'-phosphotransferase,1,37.89,38.95,20.62,20.67,37.89,1.03
rxn00549,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",1,11.09,23.9,3.6,23.19,23.19,1.03
rxn01345,"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase",1,11.09,23.9,3.6,23.19,23.19,1.03
rxn06377,glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-ami,1,1.82,3.85,3.73,2.99,3.73,1.03
rxn15494,"beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase",1,11.09,23.9,3.6,23.19,23.19,1.03
rxn19764,"glycine:H-protein-lipoyllysine oxidoreductase (decarboxylating, accept",1,1.82,3.85,3.73,2.99,3.73,1.03
rxn31659,"Fructose-1,6-bisphosphatase, cytosolic",1,11.09,23.9,3.6,23.19,23.19,1.03
rxn33589,Fructose-bisphosphatase,1,11.09,23.9,3.6,23.19,23.19,1.03
rxn33840,"Fructose-1,6-Phosphatase",1,11.09,23.9,3.6,23.19,23.19,1.03
rxn02473,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase,1,4.06,5.58,5.46,2.69,5.46,1.02
rxn06182,Protein-tyrosine-phosphate phosphohydrolase,10,19.83,28.33,27.66,23.82,27.66,1.02
rxn20623,phosphoprotein phosphatase (phosphotyrosine),10,19.83,28.33,27.66,23.82,27.66,1.02
rxn33998,Imidazole Glycerol Phosphate Synthase,1,4.06,5.58,5.46,2.69,5.46,1.02
rxn01269,Prephenate:NADP+ oxidoreductase(decarboxylating),1,3.68,5.58,5.11,5.55,5.55,1.01
rxn01329,"D-mannose 6-phosphate 1,6-phosphomutase",1,3.44,6.01,2.96,5.94,5.94,1.01
rxn00020,cellobiose glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn00222,cellobiose glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn00690,Formate:tetrahydrofolate ligase (ADP-forming),1,11.45,13.47,9.52,13.43,13.43,1.0
rxn00907,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase",1,11.45,13.47,9.52,13.43,13.43,1.0
rxn01211,"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)",1,11.45,13.47,9.52,13.43,13.43,1.0
rxn03402,beta-D-Glucosyl-2-coumarinate glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn06272,"1,4-beta-D-Glucan glucohydrolase",14,8.86,12.07,12.07,6.16,12.07,1.0
rxn06403,D-Glucoside glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn06823,Cyanoglycoside glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn07040,rxn07040,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn09978,beta-glucosidase (methyl-alpha-D-glucoside),14,8.86,12.07,12.07,6.16,12.07,1.0
rxn09979,beta-glucosidase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn15007,cellobiose glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn15033,cellobiose glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn15501,Cyanoglycoside glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn15502,Cyanoglycoside glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn15505,beta-D-Glucosyl-2-coumarinate glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn15506,beta-D-Glucosyl-2-coumarinate glucohydrolase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn15575,R06077,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn17947,amygdalase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn24067,RXN-5341.c,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn24147,RXN-6282.c,1,11.45,13.47,9.52,13.43,13.43,1.0
rxn24148,RXN-6283.c,1,11.45,13.47,9.52,13.43,13.43,1.0
rxn25763,RXN-9674.c,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn31688,BETA-XYLOSIDASE 2 or glycosyl hydrolase family 1 protein or glycosyl h,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn32005,RXN-9674,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn34053,Methenyltetrahydrofolate cyclohydrolase,1,11.45,13.47,9.52,13.43,13.43,1.0
rxn37735,taxiphyllin beta-glucosidase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn37736,linustatin beta-diglucosidase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn37737,neolinustatin beta-diglucosidase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn37970,limarase,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn40710,rxn40710,14,8.86,12.07,12.07,6.16,12.07,1.0
rxn46254,rxn46254,1,11.45,13.47,9.52,13.43,13.43,1.0
rxn46861,rxn46861,1,11.45,13.47,9.52,13.43,13.43,1.0
rxn47599,rxn47599,1,11.45,13.47,9.52,13.43,13.43,1.0
rxn17689,MLTKb,2,13.0,14.38,14.59,8.61,14.59,0.99
rxn41858,rxn41858,2,13.0,14.38,14.59,8.61,14.59,0.99
rxn00452,S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase,1,1.14,2.21,0.16,2.25,2.25,0.98
rxn01555,"quercetin:oxygen 2,3-oxidoreductase (decyclizing)",1,0.52,2.55,2.6,1.33,2.6,0.98
rxn06440,L-Isoleucine:tRNA(Ile) ligase (AMP-forming),1,6.72,6.58,4.24,4.72,6.72,0.98
rxn08703,S-methylmethionine homocysteine transmethylase,1,1.14,2.21,0.16,2.25,2.25,0.98
rxn19948,isoleucine-tRNA ligase,1,6.72,6.58,4.24,4.72,6.72,0.98
rxn45088,rxn45088,1,1.14,2.21,0.16,2.25,2.25,0.98
rxn48235,rxn48235,1,6.72,6.58,4.24,4.72,6.72,0.98
rxn00777,D-ribose-5-phosphate aldose-ketose-isomerase,1,6.1,5.92,1.58,5.73,6.1,0.97
rxn15114,D-ribose-5-phosphate aldose-ketose-isomerase,1,6.1,5.92,1.58,5.73,6.1,0.97
rxn33860,Ribose 5 Phosphate Epimerase,1,6.1,5.92,1.58,5.73,6.1,0.97
rxn33861,Ribose 5 Phosphate Epimerase,1,6.1,5.92,1.58,5.73,6.1,0.97
rxn02056,S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase,1,6.87,6.49,5.54,3.34,6.87,0.94
rxn02774,S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase,1,6.87,6.49,5.54,3.34,6.87,0.94
rxn06976,ATP:1-phosphatidyl-1D-myo-inositol-3-phosphate 5-phosphotransferase,2,4.88,7.31,7.76,2.71,7.76,0.94
rxn17668,phosphatidylinositol 3-phosphate 5-kinase,2,4.88,7.31,7.76,2.71,7.76,0.94
rxn00175,Acetate:CoA ligase (AMP-forming),1,6.83,14.1,3.0,15.23,15.23,0.93
rxn00176,acetyl adenylate:CoA acetyltransferase,1,6.83,14.1,3.0,15.23,15.23,0.93
rxn00226,ATP:acetate adenylyltransferase,1,6.83,14.1,3.0,15.23,15.23,0.93
rxn00674,Propanoate:CoA ligase (AMP-forming),1,6.83,14.1,3.0,15.23,15.23,0.93
rxn00675,Propionyladenylate:CoA propionyltransferase,1,6.83,14.1,3.0,15.23,15.23,0.93
rxn00986,ATP:propanoate adenylyltransferase,1,6.83,14.1,3.0,15.23,15.23,0.93
rxn05289,NADPH:oxidized-thioredoxin oxidoreductase,1,3.18,8.46,2.91,9.1,9.1,0.93
rxn05910,"L-cysteine,glutathione:NADP+ oxidoreductase (disulfide-forming)",1,3.18,8.46,2.91,9.1,9.1,0.93
rxn11571,Hydrogen selenide:NADP+ oxidoreductase,1,3.18,8.46,2.91,9.1,9.1,0.93
rxn16213,methaneselenol:NADP+ oxidoreductase,1,3.18,8.46,2.91,9.1,9.1,0.93
rxn27318,NADPH-thioredoxin reductase,1,3.18,8.46,2.91,9.1,9.1,0.93
rxn33879,Acetate--CoA Ligase,1,6.83,14.1,3.0,15.23,15.23,0.93
rxn41914,rxn41914,1,6.83,14.1,3.0,15.23,15.23,0.93
rxn00817,melibiose galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn00818,Raffinose galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn00819,Galactosylglycerol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn00890,3-O-alpha-D-Galactosyl-1D-myo-inositol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn00929,L-Proline:NAD+ 5-oxidoreductase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn00931,L-Proline:NADP+ 5-oxidoreductase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn00977,Epimelibiose galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn02093,Melibiitol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn02356,trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn02358,trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn02583,Trihexosylceramide galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn02596,R03634,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn02822,"alpha-galactosidase, putative / melibiase, putative / alpha-D-galactos",6,8.17,7.55,5.67,3.45,8.17,0.92
rxn03838,R05549,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn06701,"alpha-galactosidase, putative / melibiase, putative / alpha-D-galactos",6,8.17,7.55,5.67,3.45,8.17,0.92
rxn07000,Galactan galactohydrolase,11,8.17,7.55,5.67,3.45,8.17,0.92
rxn07041,rxn07041,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn07062,rxn07062,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn09983,a-galactosidase (galactomannan),6,8.17,7.55,5.67,3.45,8.17,0.92
rxn09984,a-galactosidase (galactose oligosaccharides),6,8.17,7.55,5.67,3.45,8.17,0.92
rxn11587,Digalactosylceramide galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn11609,Digalactosyl-diacylglycerol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn11988,Trihexosylceramide galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn13741,proline oxidase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn14062,(1->4)-alpha-D-galacturonan reducing-end-disaccharide-lyase,16,1.51,1.4,1.13,1.36,1.51,0.92
rxn14066,(1->4)-alpha-D-galacturonan lyase,16,1.51,1.4,1.13,1.36,1.51,0.92
rxn15138,alpha-D-galactosidase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15139,melibiose galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15140,Raffinose galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15141,Raffinose galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15142,Galactosylglycerol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15143,Galactosylglycerol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15152,R06093,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15153,R06093,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15179,Epimelibiose galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15379,Melibiitol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15380,Melibiitol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15415,Trihexosylceramide galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15416,Trihexosylceramide galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15417,R06152,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15418,R06152,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15444,Digalactosylceramide galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15445,Digalactosylceramide galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15468,Digalactosyl-diacylglycerol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15469,Digalactosyl-diacylglycerol galactohydrolase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn15541,R06096,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn18949,pectate transeliminase,16,1.51,1.4,1.13,1.36,1.51,0.92
rxn20650,proline oxidase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn22382,alpha-D-galactosidase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn31234,pectate lyase family protein,16,1.51,1.4,1.13,1.36,1.51,0.92
rxn31367,"alpha-xylosidase, putative",7,8.17,7.55,5.67,3.45,8.17,0.92
rxn31762,trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn32051,-,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn32054,trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn33339,Alpha-galactosidase,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn33946,Pyrroline 5 Carboxylate Reductase,1,3.39,3.12,1.93,1.81,3.39,0.92
rxn40716,rxn40716,6,8.17,7.55,5.67,3.45,8.17,0.92
rxn06012,acyl-CoA:sphingosine N-acyltransferase,1,7.13,7.8,8.55,5.26,8.55,0.91
rxn06178,Acyl-CoA:sphingosine N-acyltransferase,1,7.13,7.8,8.55,5.26,8.55,0.91
rxn07108,acyl-CoA:sphingosine N-acyltransferase,1,7.13,7.8,8.55,5.26,8.55,0.91
rxn07110,acyl-CoA: phytosphingosine N-acyltransferase,1,7.13,7.8,8.55,5.26,8.55,0.91
rxn27212,acyl-CoA:sphingosine N-acyltransferase,1,7.13,7.8,8.55,5.26,8.55,0.91
rxn46200,rxn46200,1,7.13,7.8,8.55,5.26,8.55,0.91
rxn46209,rxn46209,2,10.78,9.77,9.92,10.31,10.78,0.91
rxn01391,L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming),1,1.09,1.15,1.08,1.29,1.29,0.9
rxn01746,Allantoate amidinohydrolase,1,6.56,5.92,6.0,4.69,6.56,0.9
rxn00816,Lactose galactohydrolase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn01228,glycosyl hydrolase family 35 protein,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn02409,R06099,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn03273,3-Ketolactose galactohydrolase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn03462,Gal-beta1->3GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer galactohydrola,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn05929,Galactan galactohydrolase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn06303,RXN-12217.c,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn06445,L-proline:tRNA(Pro) ligase (AMP-forming),1,15.93,22.6,12.02,25.51,25.51,0.89
rxn06751,glycosyl hydrolase family 35 protein,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn07039,rxn07039,6,1.56,1.4,1.22,1.33,1.56,0.89
rxn07043,Galactan galactohydrolase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn07064,rxn07064,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn11567,"beta-D-Galactosyl-1,4-beta-D-glucosylceramide galactohydrolase",5,1.56,1.4,1.22,1.33,1.56,0.89
rxn11612,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D- galacto,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn15230,Lactose galactohydrolase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn15402,R06099,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn15483,R06010,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn15484,R06010,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn15513,Gal-beta1->3GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer galactohydrola,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn15514,Gal-beta1->3GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer galactohydrola,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn15582,R06098,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn15588,lactase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn17950,beta-galactosidase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn20616,prolyl-s-RNA synthetase,1,15.93,22.6,12.02,25.51,25.51,0.89
rxn22776,PPME1,1,2.86,2.79,3.13,2.03,3.13,0.89
rxn22867,xyloglucan XXLG oligosaccharide beta-galactosidase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn22868,xyloglucan XLXG oligosaccharide beta-galactosidase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn22869,xyloglucan XLLG oligosaccharide beta-galactosidase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn31348,BGAL2 (beta-galactosidase 2); beta-galactosidase,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn41196,rxn41196,1,15.93,22.6,12.02,25.51,25.51,0.89
rxn42621,rxn42621,5,1.56,1.4,1.22,1.33,1.56,0.89
rxn00764,glycerol:NADP+ 2-oxidoreductase (glycerone-forming),7,5.15,4.52,4.8,3.95,5.15,0.88
rxn43388,rxn43388,4,21.33,18.72,21.64,15.62,21.64,0.86
rxn00211,UDP-glucose:NAD+ 6-oxidoreductase,1,18.82,19.23,14.53,22.61,22.61,0.85
rxn06145,"acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase",1,1.35,1.15,0.96,0.96,1.35,0.85
rxn06223,"2,3-Dehydroacyl-CoA:1,2-diacylglycerol O-acyltransferase",1,1.35,1.15,0.96,0.96,1.35,0.85
rxn16316,R09474,1,1.35,1.15,0.96,0.96,1.35,0.85
rxn19468,diglyceride O-acyltransferase,1,1.35,1.15,0.96,0.96,1.35,0.85
rxn27418,UDPG dehydrogenase,1,18.82,19.23,14.53,22.61,22.61,0.85
rxn36690,diglyceride O-acyltransferase,1,1.35,1.15,0.96,0.96,1.35,0.85
rxn36691,diglyceride O-acyltransferase,1,1.35,1.15,0.96,0.96,1.35,0.85
rxn05026,"alpha,alpha-trehalose:phosphate alpha-D-glucosyltransferase",1,60.75,51.33,46.9,56.47,60.75,0.84
rxn06435,L-Cysteine:tRNA(Cys) ligase (AMP-forming),1,6.45,5.43,5.69,3.93,6.45,0.84
rxn06439,L-Histidine:tRNA(His) ligase (AMP-forming),2,5.21,8.8,4.98,10.47,10.47,0.84
rxn19348,cysteinyl-transferRNA synthetase,1,6.45,5.43,5.69,3.93,6.45,0.84
rxn19894,histidyl-tRNA synthetase,2,5.21,8.8,4.98,10.47,10.47,0.84
rxn39802,"alpha,alpha-trehalose:phosphate alpha-D-glucosyltransferase",1,60.75,51.33,46.9,56.47,60.75,0.84
rxn40608,rxn40608,2,5.21,8.8,4.98,10.47,10.47,0.84
rxn43736,rxn43736,1,6.45,5.43,5.69,3.93,6.45,0.84
rxn01480,3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase,1,5.51,6.98,8.4,8.08,8.4,0.83
rxn11731,L-arginine:pyruvate aminotransferase,1,0.52,1.4,1.5,1.68,1.68,0.83
rxn15510,3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase,1,5.51,6.98,8.4,8.08,8.4,0.83
rxn17758,3-hydroxy-2-methylpropanoate:NAD+ oxidoreductase,1,5.51,6.98,8.4,8.08,8.4,0.83
rxn00182,L-glutamate:NAD+ oxidoreductase (deaminating),1,12.56,24.36,3.36,29.86,29.86,0.82
rxn00872,Butanoyl-CoA:oxygen 2-oxidoreductase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn00946,Palmitoyl-CoA:oxygen 2-oxidoreductase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn01653,5-Formyltetrahydrofolate cyclo-ligase (ADP-forming),1,3.49,4.19,2.18,5.09,5.09,0.82
rxn02679,Octanoyl-CoA:oxygen 2-oxidoreductase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn02720,"Lauroyl-CoA:(acceptor) 2,3-oxidoreductase",2,3.12,2.55,2.41,1.13,3.12,0.82
rxn02803,"Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase",2,3.12,2.55,2.41,1.13,3.12,0.82
rxn03251,"Hexanoyl-CoA:(acceptor) 2,3-oxidoreductase",2,3.12,2.55,2.41,1.13,3.12,0.82
rxn03253,"Decanoyl-CoA:(acceptor) 2,3-oxidoreductase",2,3.12,2.55,2.41,1.13,3.12,0.82
rxn05778,alpha-amino acid:NAD+ oxidoreductase (deaminating),1,12.56,24.36,3.36,29.86,29.86,0.82
rxn05779,alpha-amino acid:NADP+ oxidoreductase (deaminating),1,12.56,24.36,3.36,29.86,29.86,0.82
rxn05828,Acyl-CoA:oxygen 2-oxidoreductase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn07678,R07888,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn07682,R07892,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn07686,R07896,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn07724,R07934,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn07740,R07950,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn09475,acyl-CoA oxidase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn09476,acyl-CoA oxidase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn09477,acyl-CoA oxidase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn09478,acyl-CoA oxidase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn09479,acyl-CoA oxidase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn19049,acyl-CoA oxidase,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn19050,RXN-12669.c,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn21058,RXN-10696.c,2,3.12,2.55,2.41,1.13,3.12,0.82
rxn21069,RXN-10706.c,2,3.12,2.55,2.41,1.13,3.12,0.82
