protein_id	sprot_acc	pident	protein_name	EC	signal_peptide	n_TM_outside_signal	secreted
KAN1678530.1	O60113	41.7	Uncharacterized amino-acid permease C15C4.04c			12	0
KAN1678531.1	O94335	62.0	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit stt3	2.4.99.18		13	0
KAN1678532.1	Q10085	50.5	Uncharacterized transporter C11D3.06			11	0
KAN1678533.1	Q10088	66.3	Putative agmatinase 1	3.5.3.11	1-20	0	1
KAN1678534.1	O60113	37.7	Uncharacterized amino-acid permease C15C4.04c			12	0
KAN1678535.1	A0A8B0RBM2	42.7	Carboxylic ester hydrolase	3.1.1.1 {ECO:0000305|PubMed:33810599}	1-19	0	1
KAN1678536.1	B5ZA76	58.0	Peptidoglycan deacetylase	3.1.1.72;3.5.1.-		0	0
KAN1678538.1	Q7ZXQ9	48.4	Drebrin-like protein A			0	0
KAN1678542.1	Q54FE6	37.9	Mitochondrial substrate carrier family protein S			6	0
KAN1678544.1	D5GM60	38.4	Probable dipeptidyl-aminopeptidase B	3.4.14.5		1	0
KAN1678546.1	Q54DY9	33.6	Probable mitochondrial chaperone BCS1-B	3.6.1.- {ECO:0000250|UniProtKB:P32839}		1	0
KAN1678547.1	P54861	47.0	Dynamin-related protein DNM1	3.6.5.5		0	0
KAN1678548.1	P05626	47.0	ATP synthase subunit 4, mitochondrial			0	0
KAN1678549.1	P28266	44.1	Nodulation protein L	2.3.1.-		0	0
KAN1678552.1	P39988	41.4	Putative pyridoxal kinase BUD16	2.7.1.35		0	0
KAN1678553.1	A7MB62	73.8	Actin-related protein 2			0	0
KAN1678572.1	A0A6S6QLX9	30.9	Acetyltransferase ple2	2.3.1.- {ECO:0000269|PubMed:28924980}	1-27	4	0
KAN1678577.1	Q6IRB8	30.2	Lysine-specific demethylase 3A-A	1.14.11.65 {ECO:0000250|UniProtKB:Q9Y4C1}		0	0
KAN1678579.1	Q09825	34.0	Spindle pole body-associated protein sad1			1	0
KAN1678592.1	Q54YZ9	60.5	Hybrid signal transduction histidine kinase J	2.7.13.3		0	0
KAN1678603.1	Q10097	30.5	Carboxylic acid transmembrane transporter SPAC11D3.18c			11	0
KAN1678608.1	Q9HGM9	40.8	DnaJ homolog subfamily C member 7 homolog			0	0
KAN1678610.1	O65421	43.8	Vacuolar protein sorting-associated protein 28 homolog 1			0	0
KAN1678613.1	G2QJ27	40.1	Acetylesterase	3.1.1.6 {ECO:0000250|UniProtKB:T2FKR1}	1-21	0	1
KAN1678615.1	P22045	43.6	9,11-endoperoxide prostaglandin H2 reductase	1.1.1.- {ECO:0000269|PubMed:12633659}		0	0
KAN1678617.1	Q5E951	43.0	Tubulin-folding cofactor B			0	0
KAN1678618.1	P55072	75.9	Transitional endoplasmic reticulum ATPase	3.6.4.6 {ECO:0000269|PubMed:26471729}		0	0
KAN1678619.1	Q96UY1	45.1	Diacylglycerol O-acyltransferase 2B	2.3.1.20		2	0
KAN1678624.1	P53584	41.4	Protein YTP1			11	0
KAN1678632.1	A8PUY3	38.1	Secreted mono- and diacylglycerol lipase MDL3	3.1.1.- {ECO:0000269|PubMed:27130210}	1-19	0	1
KAN1678633.1	A0A3G2S8R6	31.5	Secreted mono- and diacylglycerol lipase LIP4	3.1.1.- {ECO:0000305|PubMed:26298017}	1-16	0	1
KAN1678635.1	A8PUY5	35.9	Secreted mono- and diacylglycerol lipase MDL2	3.1.1.- {ECO:0000269|PubMed:25749469, ECO:0000269|PubMed:27130210, ECO:0000269|PubMed:28433636}	1-19	0	1
KAN1678636.1	A8PUY5	36.2	Secreted mono- and diacylglycerol lipase MDL2	3.1.1.- {ECO:0000269|PubMed:25749469, ECO:0000269|PubMed:27130210, ECO:0000269|PubMed:28433636}	1-19	0	1
KAN1678637.1	A0A0K0VF36	31.7	Secreted mono- and diacylglycerol lipase LIP2	3.1.1.- {ECO:0000269|PubMed:26298017}	1-21	0	1
KAN1678638.1	Q4G338	44.1	Peptidyl-prolyl cis-trans isomerase E	5.2.1.8 {ECO:0000269|PubMed:15830208}		0	0
KAN1678639.1	Q148M7	40.7	Transcription initiation factor TFIID subunit 13			0	0
KAN1678641.1	Q08641	38.9	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase	2.1.1.268 {ECO:0000269|PubMed:21518804, ECO:0000269|PubMed:21518805}		0	0
KAN1678642.1	P53388	37.9	Dicarboxylic amino acid permease			12	0
KAN1678643.1	P53388	41.3	Dicarboxylic amino acid permease			12	0
KAN1678644.1	B0BNF8	35.7	Protein HTATIP2			0	0
KAN1678645.1	Q09911	41.3	Uncharacterized protein C30D11.14c			0	0
KAN1678648.1	A0A0C4VYV1	31.7	MFS-type transporter 1			12	0
KAN1678649.1	Q54EW2	32.3	Putative bifunctional amine oxidase DDB_G0291301	1.4.3.2;1.5.3.1;1.5.3.7		1	0
KAN1678651.1	A8N8S3	56.3	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	6.3.5.7 {ECO:0000255|HAMAP-Rule:MF_03150}		0	0
KAN1678652.1	Q6TNS2	35.7	p21-activated protein kinase-interacting protein 1-like			0	0
KAN1678653.1	Q24K12	34.6	G patch domain-containing protein 1			0	0
KAN1678655.1	Q6XHB2	30.6	Probable serine/threonine-protein kinase roco4	2.7.11.1		0	0
KAN1678656.1	Q54N73	33.5	Seven transmembrane domain-containing tyrosine-protein kinase 1	2.7.10.1		7	0
KAN1678657.1	Q9LSL5	32.4	L-type lectin-domain containing receptor kinase IX.2	2.7.11.1 {ECO:0000255|PROSITE-ProRule:PRU00159}	1-35	1	0
KAN1678658.1	Q869X3	30.4	Probable serine/threonine-protein kinase DDB_G0275165	2.7.11.1		0	0
KAN1678659.1	Q6XHB2	30.6	Probable serine/threonine-protein kinase roco4	2.7.11.1		0	0
KAN1678660.1	Q54N73	33.5	Seven transmembrane domain-containing tyrosine-protein kinase 1	2.7.10.1		7	0
KAN1678661.1	Q9LSL5	32.4	L-type lectin-domain containing receptor kinase IX.2	2.7.11.1 {ECO:0000255|PROSITE-ProRule:PRU00159}	1-35	1	0
KAN1678665.1	Q9HCU8	50.9	DNA polymerase delta subunit 4			0	0
KAN1678667.1	Q09146	36.9	Brefeldin A resistance protein			0	0
KAN1678670.1	Q754R5	30.0	Ubiquitin carboxyl-terminal hydrolase 4	3.4.19.12		0	0
KAN1678671.1	O60061	49.4	Dolichyl-phosphate beta-glucosyltransferase	2.4.1.117 {ECO:0000250|UniProtKB:P40350}		1	0
KAN1678672.1	Q9LDU0	34.3	Metal tolerance protein 7			6	0
KAN1678673.1	P15245	37.9	Phenol hydroxylase	1.14.13.7 {ECO:0000269|PubMed:11591156, ECO:0000269|PubMed:1429434, ECO:0000269|PubMed:17425111, ECO:0000269|PubMed:2022646, ECO:0000269|PubMed:3203745, ECO:0000269|PubMed:4146224, ECO:0000269|PubMed:7851397, ECO:0000269|PubMed:7858421}		0	0
KAN1678676.1	P13860	67.0	Exoglucanase 1	3.2.1.91	1-18	0	1
KAN1678678.1	Q5E9G4	46.3	Tripartite motif-containing protein 10			0	0
KAN1678680.1	Q6NWF4	32.0	Vacuolar protein-sorting-associated protein 25			0	0
KAN1678682.1	A0A286LEZ7	52.6	Psilocybin synthase	2.1.1.- {ECO:0000250|UniProtKB:P0DPA9};2.1.1.345 {ECO:0000250|UniProtKB:P0DPA9}		0	0
KAN1678683.1	P0DO29	42.5	Dehydrogenase eriK	1.1.-.- {ECO:0000305|PubMed:31535864}	1-20	0	1
KAN1678686.1	K7PL94	63.6	Hydroxymethylglutaryl-CoA synthase	2.3.3.10 {ECO:0000305|PubMed:23138457}		0	0
KAN1678687.1	B6H5X9	41.7	Probable beta-galactosidase C	3.2.1.23	1-21	0	1
KAN1678689.1	Q0S7Q1	36.2	(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-indene-4-carboxyl-CoA dehydrogenase	1.3.1.- {ECO:0000250|UniProtKB:P71847}		0	0
KAN1678697.1	O77666	41.8	Tripartite motif-containing protein 26	2.3.2.27 {ECO:0000250|UniProtKB:Q12899}		0	0
KAN1678698.1	Q758S7	83.1	Large ribosomal subunit protein uL5			0	0
KAN1678700.1	Q9US37	31.2	Uncharacterized transporter C1039.04			12	0
KAN1678701.1	Q9P6J0	32.3	Carboxylic acid transmembrane transporter SPBC1683.12			12	0
KAN1678702.1	Q12739	61.3	Laccase-2	1.10.3.2 {ECO:0000250|UniProtKB:Q70KY3}	1-23	0	1
KAN1678703.1	B1MM05	31.9	Flavin-dependent monooxygenase	1.14.13.231 {ECO:0000305|PubMed:29632012}		0	0
KAN1678708.1	O94725	38.6	Damage-control phosphatase SPCC1393.13	3.1.3.- {ECO:0000250|UniProtKB:Q04371}		0	0
KAN1678712.1	P0DPR4	34.3	Quinolone resistance transporter			12	0
KAN1678713.1	Q9UTC4	60.0	Uncharacterized protein C227.15			0	0
KAN1678714.1	A0A0A2IBP6	32.6	MFS-type transporter cnsO			11	0
KAN1678719.1	K7PL94	65.4	Hydroxymethylglutaryl-CoA synthase	2.3.3.10 {ECO:0000305|PubMed:23138457}		0	0
KAN1678729.1	J9VI03	40.1	DNA (cytosine-5-)-methyltransferase DMT5	3.6.4.- {ECO:0000269|PubMed:31955845, ECO:0000269|PubMed:32437639}		0	0
KAN1678731.1	P0CP45	33.9	Protein N-terminal and lysine N-methyltransferase EFM7	2.1.1.- {ECO:0000255|HAMAP-Rule:MF_03223}		0	0
KAN1678732.1	G4MSX7	38.0	Peroxisomal targeting signal 2 receptor			0	0
KAN1678733.1	A9UVV1	46.2	NAD-dependent protein deacylase SIR4	2.3.1.286 {ECO:0000255|HAMAP-Rule:MF_03161, ECO:0000255|PROSITE-ProRule:PRU00236}		0	0
KAN1678737.1	B2AC45	42.8	Extracellular metalloprotease PODANS_2_14170	3.4.24.-	1-18	0	1
KAN1678738.1	Q9USW3	41.2	Probable glycosidase C21B10.07	3.2.1.-		1	0
KAN1678739.1	A8N8Z0	73.0	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	4.2.1.93 {ECO:0000255|HAMAP-Rule:MF_03157}		0	0
KAN1678740.1	Q9P931	58.8	Phosphoglucomutase	5.4.2.2 {ECO:0000250|UniProtKB:P37012}		0	0
KAN1678741.1	Q2RM60	41.7	Pantothenate synthetase	6.3.2.1 {ECO:0000255|HAMAP-Rule:MF_00158}		0	0
KAN1678742.1	Q54DY9	35.4	Probable mitochondrial chaperone BCS1-B	3.6.1.- {ECO:0000250|UniProtKB:P32839}		1	0
KAN1678743.1	Q54DY9	36.5	Probable mitochondrial chaperone BCS1-B	3.6.1.- {ECO:0000250|UniProtKB:P32839}		1	0
KAN1678744.1	O74396	51.8	Vacuolar protein sorting-associated protein vps901			0	0
KAN1678746.1	O14003	65.3	Replication factor C subunit 3			0	0
KAN1678751.1	Q13123	41.1	Protein Red			0	0
KAN1678758.1	Q8K2L8	30.3	Trafficking protein particle complex subunit 12			0	0
KAN1678764.1	O74628	35.0	Uncharacterized oxidoreductase C162.03	1.-.-.-		0	0
KAN1678765.1	O13755	46.6	Fumarate reductase	1.3.1.6		0	0
KAN1678767.1	Q12702	69.8	Protein phosphatase PP2A regulatory subunit B			0	0
KAN1678769.1	O13633	37.3	Uncharacterized J domain-containing protein C17A3.05c			1	0
KAN1678773.1	Q9C0U7	34.1	Vacuolar protein sorting-associated protein vps5			0	0
KAN1678774.1	O94264	48.5	Uncharacterized RING finger protein P8B7.15c			0	0
KAN1678775.1	Q4WJ59	46.1	Delta(24(24(1)))-sterol reductase erg4B	1.3.1.71 {ECO:0000305|PubMed:16110826}		9	0
KAN1678777.1	Q10209	43.3	Uncharacterized J domain-containing protein C4H3.01			0	0
KAN1678778.1	Q501L1	39.3	Peptidase M20 domain-containing protein 2			0	0
KAN1678781.1	Q86C65	38.8	Serine/threonine-protein kinase tor	2.7.11.1		0	0
KAN1678782.1	Q9Y7K2	51.0	Serine/threonine-protein kinase tor2	2.7.11.1 {ECO:0000269|PubMed:22976295}		0	0
KAN1678783.1	P59679	30.4	Actin-related protein 8			0	0
KAN1678785.1	G4N5Q2	68.1	C2H2 finger domain transcription factor CON7			0	0
KAN1678788.1	E4V655	41.2	Leucine aminopeptidase 1	3.4.11.-	1-18	0	1
KAN1678795.1	Q10258	49.7	Methylenetetrahydrofolate reductase 1	1.5.1.20		0	0
KAN1678801.1	Q4WCG5	51.2	Dolichyl-phosphate-mannose--protein mannosyltransferase 4	2.4.1.109 {ECO:0000305|PubMed:20398215}		10	0
KAN1678802.1	P0CR58	34.5	Sorting nexin MVP1			0	0
KAN1678803.1	A2QAC0	58.4	L-arabinitol 4-dehydrogenase	1.1.1.12		0	0
KAN1678806.1	A0A437AFK1	32.7	Transcription factor swi6			0	0
KAN1678807.1	Q9DAW6	41.9	U4/U6 small nuclear ribonucleoprotein Prp4			0	0
KAN1678808.1	Q3TNA1	42.1	Xylulose kinase	2.7.1.17		0	0
KAN1678810.1	Q6TGC6	59.5	Serine/threonine-protein kinase CBK1	2.7.11.1		0	0
KAN1678811.1	Q6FV05	35.7	tRNA pseudouridine synthase 1	5.4.99.- {ECO:0000250|UniProtKB:Q12211}		0	0
KAN1678812.1	O74825	43.8	DNA-directed RNA polymerase II subunit rpb4			0	0
KAN1678813.1	O74327	41.8	Vacuolar amino acid transporter 5			11	0
KAN1678815.1	Q9Y7V2	30.0	Transcription factor bye1			0	0
KAN1678816.1	Q5B4Z3	52.8	Cytokinesis protein sepH	2.7.11.1		0	0
KAN1678818.1	Q8GUH1	31.3	U-box domain-containing protein 33	2.3.2.27;2.7.11.-		0	0
KAN1678821.1	P0DUR7	43.5	FMN-dependent alpha-hydroxy acid dehydrogenase qulF	1.13.12.- {ECO:0000269|PubMed:32663343}		0	0
KAN1678828.1	Q4WY82	34.5	Linoleate 10R-lipoxygenase	1.13.11.62		0	0
KAN1678829.1	Q4P5N0	54.7	Serine/threonine-protein kinase SMU1	2.7.11.1		0	0
KAN1678831.1	Q4WQF3	45.1	Copper-transporting ATPase ctpA	7.2.2.8 {ECO:0000250|UniProtKB:Q04656}		8	0
KAN1678832.1	B1Y2L3	38.0	Ubiquinone biosynthesis O-methyltransferase	2.1.1.222 {ECO:0000255|HAMAP-Rule:MF_00472};2.1.1.64 {ECO:0000255|HAMAP-Rule:MF_00472}		0	0
KAN1678835.1	P34756	37.2	1-phosphatidylinositol 3-phosphate 5-kinase FAB1	2.7.1.150		0	0
KAN1678837.1	Q91WT9	54.3	Cystathionine beta-synthase	4.2.1.22 {ECO:0000250|UniProtKB:P35520}		0	0
KAN1678840.1	P32796	33.2	Carnitine O-acetyltransferase, mitochondrial	2.3.1.7 {ECO:0000269|PubMed:8420957}		0	0
KAN1678841.1	J9VPD7	50.4	Chitin deacetylase 1	3.5.1.41 {ECO:0000305|PubMed:17400891, ECO:0000305|PubMed:30459196}	1-19	0	1
KAN1678842.1	J9VPD7	41.4	Chitin deacetylase 1	3.5.1.41 {ECO:0000305|PubMed:17400891, ECO:0000305|PubMed:30459196}	1-19	0	1
KAN1678845.1	P52719	33.1	Carboxypeptidase cpdS	3.4.16.- {ECO:0000269|PubMed:7772020}	1-18	0	1
KAN1678849.1	O74445	76.5	Probable 26S proteasome subunit rpt4			0	0
KAN1678850.1	O94590	34.2	Protein transport protein sec1			0	0
KAN1678851.1	Q9Y7U6	47.3	Rho1 guanine nucleotide exchange factor 1			0	0
KAN1678852.1	A0A6S6QLX9	36.5	Acetyltransferase ple2	2.3.1.- {ECO:0000269|PubMed:28924980}	1-27	4	0
KAN1678854.1	O60181	58.2	3,4-dihydroxy-2-butanone 4-phosphate synthase	4.1.99.12		0	0
KAN1678855.1	Q874I4	48.2	Dihydroorotate dehydrogenase (quinone), mitochondrial	1.3.5.2		1	0
KAN1678856.1	O94449	69.1	Replication factor C subunit 4			0	0
KAN1678864.1	J9VS37	56.9	Aspartokinase	2.7.2.4 {ECO:0000250|UniProtKB:P10869}		0	0
KAN1678866.1	P78820	57.0	Acetyl-CoA carboxylase	6.3.4.14;6.4.1.2		0	0
KAN1678867.1	Q39580	78.2	Dynein 8 kDa light chain, flagellar outer arm			0	0
KAN1678869.1	B8M9K0	31.2	Hydrolase tropI	3.1.1.- {ECO:0000269|PubMed:24863423}		0	0
KAN1678872.1	Q09759	46.2	Uncharacterized protein C24H6.02c			0	0
KAN1678873.1	Q6YFE4	57.5	Monothiol glutaredoxin-5, mitochondrial			0	0
KAN1678874.1	P9WGQ6	41.5	Uncharacterized oxidoreductase MT1177	1.-.-.-		0	0
KAN1678875.1	P21538	34.5	DNA-binding protein REB1			0	0
KAN1678876.1	P0CP04	56.3	Mitotic-spindle organizing protein 1			0	0
KAN1678877.1	O14100	37.9	Protein zds1			0	0
KAN1678879.1	Q2RP11	35.9	Probable GTP-binding protein EngB			0	0
KAN1678881.1	Q54KL5	53.4	WD repeat-containing protein 5 homolog			0	0
KAN1678882.1	C8VDQ4	34.2	Putative GTPase-activating protein AN11010			0	0
KAN1678888.1	F4JJE0	46.2	Choline-phosphate cytidylyltransferase 2	2.7.7.15 {ECO:0000269|PubMed:12461134}		0	0
KAN1678890.1	B1MM05	37.2	Flavin-dependent monooxygenase	1.14.13.231 {ECO:0000305|PubMed:29632012}		0	0
KAN1678892.1	P53318	38.5	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	1.14.15.45 {ECO:0000255|HAMAP-Rule:MF_03193, ECO:0000269|PubMed:21944752};1.14.15.46 {ECO:0000255|HAMAP-Rule:MF_03193};3.5.-.- {ECO:0000269|PubMed:26260787}		0	0
KAN1678894.1	P38795	65.6	Glutamine-dependent NAD(+) synthetase	6.3.5.1		0	0
KAN1678895.1	O60100	35.5	Probable importin subunit beta-4			0	0
KAN1678898.1	P28040	39.9	DNA polymerase alpha catalytic subunit	2.7.7.7		0	0
KAN1678901.1	O14241	51.7	Actin-related protein 2/3 complex subunit 2			0	0
KAN1678904.1	Q12362	46.8	Bifunctional protein RIB2	3.5.4.26 {ECO:0000269|PubMed:15466869};5.4.99.28 {ECO:0000269|PubMed:15466869}		0	0
KAN1678905.1	Q59W62	51.2	Serine/threonine-protein kinase GIN4	2.7.11.1		0	0
KAN1678906.1	Q7Z7W5	66.6	DNA ligase 4	6.5.1.1 {ECO:0000255|PROSITE-ProRule:PRU10135}		0	0
KAN1678907.1	Q6P839	36.6	Forkhead box protein A4			0	0
KAN1678911.1	Q10178	55.9	U2 snRNP component prp10			0	0
KAN1678913.1	Q99128	63.0	AP-1 complex subunit gamma-1			0	0
KAN1678917.1	O74174	50.9	V-type proton ATPase subunit G			0	0
KAN1678918.1	Q92797	31.3	Symplekin			0	0
KAN1678919.1	B0Y4X4	55.8	Mitogen-activated protein kinase mpkA	2.7.11.24 {ECO:0000305|PubMed:17981060}		0	0
KAN1678920.1	P0CO88	73.1	Cytosolic Fe-S cluster assembly factor NBP35			0	0
KAN1678921.1	P0CO88	72.9	Cytosolic Fe-S cluster assembly factor NBP35			0	0
KAN1678922.1	P27614	39.2	Carboxypeptidase S	3.4.17.4 {ECO:0000305|PubMed:2026161}		1	0
KAN1678924.1	Q8TFM9	73.5	Large ribosomal subunit protein P2			0	0
KAN1678925.1	P34737	75.0	Small ribosomal subunit protein uS19			0	0
KAN1678927.1	O43052	38.5	Rho-type GTPase-activating protein 1			0	0
KAN1678928.1	O59785	38.3	Uncharacterized solute carrier family 35 member C320.08			10	0
KAN1678929.1	Q10484	38.0	Vesicle-associated membrane protein-associated protein scs22			1	0
KAN1678930.1	Q01662	61.4	Methionine aminopeptidase 1	3.4.11.18 {ECO:0000255|HAMAP-Rule:MF_03174}		0	0
KAN1678931.1	A0A348AXX5	34.1	Putative amidase kk1C	3.5.1.4 {ECO:0000305|PubMed:37746209}		0	0
KAN1678932.1	P26369	46.7	Splicing factor U2AF 65 kDa subunit			0	0
KAN1678933.1	Q4P7J4	68.7	Mitochondrial fission 1 protein			1	0
KAN1678935.1	Q9HGX4	84.4	Histone H2A			0	0
KAN1678936.1	Q7SA88	36.2	Large ribosomal subunit protein mL44			0	0
KAN1678938.1	P27614	40.3	Carboxypeptidase S	3.4.17.4 {ECO:0000305|PubMed:2026161}		1	0
KAN1678939.1	P53933	40.1	Phosphatidate phosphatase APP1	3.1.3.4		0	0
KAN1678941.1	Q5EAR5	45.1	tRNA 2'-phosphotransferase 1	2.7.1.160		0	0
KAN1678944.1	P22768	59.2	Argininosuccinate synthase	6.3.4.5 {ECO:0000269|PubMed:2897249, ECO:0000269|PubMed:35347}		0	0
KAN1678945.1	O42945	56.1	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase prp43	3.6.4.13		0	0
KAN1678946.1	O94354	65.3	Argininosuccinate synthase	6.3.4.5 {ECO:0000305|PubMed:15704224}		0	0
KAN1678948.1	A0A0B5KYT4	37.9	Cytochrome P450 monooxygenase mpaDE'	1.-.-.- {ECO:0000269|PubMed:31209052}		1	0
KAN1678951.1	Q6ZQ89	43.6	E3 ubiquitin-protein ligase MARCHF6	2.3.2.27 {ECO:0000250|UniProtKB:O60337}		14	0
KAN1678953.1	Q5D018	57.4	RNA-binding protein 8A			0	0
KAN1678955.1	Q09704	56.4	Exosome complex component rrp4			0	0
KAN1678960.1	Q8CID0	46.4	Cysteine-rich protein 2-binding protein			0	0
KAN1678965.1	C8V3W5	50.2	NAD-dependent protein deacetylase hst1	2.3.1.286 {ECO:0000255|PROSITE-ProRule:PRU00236}		0	0
KAN1678966.1	Q4PB04	92.1	Histone H3.2			0	0
KAN1678967.1	P62793	99.0	Histone H4			0	0
KAN1678969.1	Q9VIS1	39.1	GTPase-activating protein CdGAPr			0	0
KAN1678975.1	P62793	99.0	Histone H4			0	0
KAN1678976.1	Q4PB04	92.1	Histone H3.2			0	0
KAN1678977.1	C5FBW2	40.4	Tripeptidyl-peptidase SED2	3.4.14.10	1-16	0	1
KAN1678978.1	J9VS02	43.7	Major aspartyl peptidase 1	3.4.23.- {ECO:0000269|PubMed:27977806, ECO:0000269|PubMed:34006103}	1-16	0	1
KAN1678979.1	P90543	59.8	Histone H3			0	0
KAN1678987.1	Q9UVP6	84.9	Versatile peroxidase VPS1	1.11.1.16 {ECO:0000269|PubMed:10187820}	1-20	0	1
KAN1678997.1	Q9P6R0	60.3	Transcription factor IIIB 60 kDa subunit			0	0
KAN1678998.1	O94695	49.1	Putative transporter C83.11			9	0
KAN1679002.1	P0CP92	48.3	Peptidyl-prolyl isomerase CWC27	5.2.1.8		0	0
KAN1679003.1	Q6FQK7	54.3	Ubiquitin-conjugating enzyme E2 6	2.3.2.23		1	0
KAN1679004.1	P36590	51.8	Thymidylate kinase	2.7.4.9 {ECO:0000269|PubMed:1327149}		0	0
KAN1679005.1	P40349	34.3	Siderophore biosynthesis regulatory protein URBS1			0	0
KAN1679010.1	Q9UR19	97.5	Versatile peroxidase VPL1	1.11.1.16 {ECO:0000269|PubMed:9987124}	1-22	0	1
KAN1679012.1	Q9FMU6	52.4	Mitochondrial phosphate carrier protein 3, mitochondrial			6	0
KAN1679014.1	Q84LR6	31.0	Probable inactive purple acid phosphatase 14		1-30	0	1
KAN1679016.1	Q8WU08	41.6	Serine/threonine-protein kinase 32A	2.7.11.1		0	0
KAN1679017.1	Q64520	58.9	Guanylate kinase	2.7.4.8 {ECO:0000269|PubMed:8663313}		0	0
KAN1679018.1	P39109	43.8	Metal resistance protein YCF1	7.2.2.2 {ECO:0000269|PubMed:8626454};7.6.2.3 {ECO:0000269|PubMed:8626454}		17	0
KAN1679020.1	Q10264	42.9	DNA cross-link repair protein pso2/snm1	3.1.-.-		0	0
KAN1679021.1	A0A098DDI1	45.4	Aminotransferase FGSG_17085	2.6.-.- {ECO:0000305|PubMed:25412204}		0	0
KAN1679022.1	P87158	75.2	Small ribosomal subunit protein eS4A			0	0
KAN1679025.1	Q4PCB8	65.6	Protein transport protein SEC13			0	0
KAN1679026.1	Q0C9L4	31.2	FAD-dependent monooxygenase ctvC	1.-.-.- {ECO:0000269|PubMed:26954888}		2	0
KAN1679027.1	A0A1V0QS34	34.9	Short-chain dehydrogenase/reductase eriB	1.1.1.- {ECO:0000305|PubMed:28371074}		0	0
KAN1679030.1	B4U955	37.7	Peptide chain release factor 1			0	0
KAN1679032.1	O74983	65.9	Ubiquitin-conjugating enzyme spm2			0	0
KAN1679033.1	Q4P5J4	57.1	Class E vacuolar protein-sorting machinery protein HSE1			0	0
KAN1679034.1	P38207	32.2	DNA-(apurinic or apyrimidinic site) endonuclease 2	3.1.11.2 {ECO:0000269|PubMed:10806210, ECO:0000269|PubMed:9765213}		0	0
KAN1679036.1	P28739	55.0	Kinesin-like protein klpA			0	0
KAN1679042.1	Q9D071	31.8	MMS19 nucleotide excision repair protein homolog			0	0
KAN1679044.1	Q91YR5	35.1	eEF1A lysine and N-terminal methyltransferase	2.1.1.- {ECO:0000250|UniProtKB:Q8N6R0}		0	0
KAN1679045.1	Q10227	41.0	Uncharacterized protein C2E12.03c			6	0
KAN1679047.1	O60573	46.7	Eukaryotic translation initiation factor 4E type 2			0	0
KAN1679048.1	Q9C5C8	80.0	Peptide methionine sulfoxide reductase B2, chloroplastic	1.8.4.12 {ECO:0000269|PubMed:15923321, ECO:0000269|PubMed:17761174, ECO:0000269|PubMed:19457862}		0	0
KAN1679050.1	Q9P6K3	43.9	CUB1 family protein C30C2.08			0	0
KAN1679052.1	P37211	73.4	ATP synthase subunit alpha, mitochondrial			0	0
KAN1679053.1	B3EP08	30.6	Large ribosomal subunit protein bL21			0	0
KAN1679054.1	Q9R1C7	64.1	Pre-mRNA-processing factor 40 homolog A			0	0
KAN1679055.1	P38805	42.2	Ribosome production factor 1			0	0
KAN1679056.1	P16095	40.0	L-serine dehydratase 1	4.3.1.17		0	0
KAN1679058.1	P32873	38.3	GTPase-activating protein BEM3			0	0
KAN1679061.1	Q55A45	50.8	Small nuclear ribonucleoprotein-associated protein B			0	0
KAN1679063.1	Q9HES8	68.3	Pyruvate carboxylase	6.4.1.1		0	0
KAN1679064.1	B0DI84	72.2	GDP-mannose transporter			10	0
KAN1679065.1	Q8N2U9	32.4	Solute carrier family 66 member 2			6	0
KAN1679069.1	D4AK94	36.0	Uncharacterized secreted protein ARB_04696		1-22	0	1
KAN1679070.1	Q68FD5	60.4	Clathrin heavy chain 1			0	0
KAN1679073.1	Q6CBE4	39.1	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	1.3.1.104		0	0
KAN1679075.1	Q7Z7H5	40.0	Transmembrane emp24 domain-containing protein 4		1-29	1	0
KAN1679084.1	P30316	63.0	DNA polymerase delta catalytic subunit	2.7.7.7 {ECO:0000250|UniProtKB:P15436};3.1.11.- {ECO:0000250|UniProtKB:P15436}		0	0
KAN1679085.1	Q9HGQ3	34.6	Probable zinc transporter cis4			14	0
KAN1679088.1	P43557	33.3	Protein FMP32, mitochondrial			1	0
KAN1679089.1	Q9UTE6	65.6	Protein mak16			0	0
KAN1679090.1	P38992	45.9	Sphingolipid C4-hydroxylase SUR2	1.-.-.-		5	0
KAN1679091.1	Q92368	73.0	Cell differentiation protein rcd1			0	0
KAN1679092.1	Q04311	32.1	tRNA endonuclease VMS1	3.1.-.- {ECO:0000269|PubMed:31011209, ECO:0000269|PubMed:31189955}		0	0
KAN1679093.1	Q9UTJ2	67.9	Phosphomannomutase	5.4.2.8		0	0
KAN1679098.1	Q1K9C2	45.5	Sulfite reductase [NADPH] subunit beta	1.8.1.2		0	0
KAN1679101.1	P43567	42.2	Alanine--glyoxylate aminotransferase 1	2.6.1.44 {ECO:0000269|PubMed:16226833}		0	0
KAN1679102.1	P43567	42.0	Alanine--glyoxylate aminotransferase 1	2.6.1.44 {ECO:0000269|PubMed:16226833}		0	0
